신규분류요약,판매,판매명,생산,생산명,분리,분리명,사출,사출명
FRP_Sph,T1300,(UV)CS30_스크류_8.60,,,,,,
FRP_Color_Sph,T4061,Bella-Natural_14.5_소사각,P4061,P4061,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Sph,T0012,1-Day_Clalen_iris_Coastal,P0012,1-Day_iris_Coastal(구형-사용중지),Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
FRP_Sph,T1139,CS30_3구,P1139,CS30_RPK 블리스터,Q1300,(UV_NEW)CS30_8.60,R1300,(UV_NEW)CS30_8.60
FRP_M/F,S028,I Plus,P1160,I-Plus-1.5_스크류,Q1160,I-Plus_스크류,R1160,I-Plus_스크류
FRP_M/F,T1160,I-Plus_스크류,P1160,I-Plus-1.5_스크류,Q1160,I-Plus_스크류,R1160,I-Plus_스크류
1-Day_Color_Sph,S917,Iris Suzy Brown_DP용 샘플(RPK)_낱개,P3074,IRIS_Suzy Brown_RPK 블리스터,Q3075,1-Day_iris_Suzy Brown,R3075,1-Day_iris_Suzy Brown
1-Day_Color_Sph,S912,Iris Suzy Gray_DP용 샘플(RPK)_낱개,P3082,IRIS_Suzy Gray_RPK 블리스터,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
FRP_Color_Sph,T4040,Bella-Elegance_38_원형,P4040,Bella-Elegance_38_원형,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4041,Bella-Elegance_38_바이알,P4041,Bella-Elegance_38_바이알,Q1002,S43-Dry,R1002,S43-Dry
FRP_Color_Sph,T4069,Bella-Oneday_원형,P4069,Bella-Oneday_원형,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
FRP_Color_Sph,S033,Festival CK,P4130,Festival-CK_금캡,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4130,Festival-CK_금캡,P4130,Festival-CK_금캡,Q1001,S38_투명-Dry,R1001,S38_투명-Dry
FRP_Color_Sph,T4225,NewFusion-II_은캡,P4225,NewFusion-II_은캡,Q1002,S43-Dry,R1002,S43-Dry
1-Day_Color_Sph,T0042,PIA_1-Day_Natural black,P4857,(N)PIA_Natural black_H-TOP,Q4857,(N)PIA_Natural black_H-TOP,R4857,(N)PIA_Natural black_H-TOP
FRP_Color_Sph,S139,Iris2-Orange brown(6팩),P4866,Orange Brown(3PCS)_H-TOP,Q4865,(UV)_Almond Brown_H-TOP,R4865,(UV)_Almond Brown_H-TOP
FRP_Color_Sph,S143,Iris2-Orange brown_낱개,P4866,Orange Brown(3PCS)_H-TOP,Q4865,(UV)_Almond Brown_H-TOP,R4865,(UV)_Almond Brown_H-TOP
Si_1-Day_M/F,T5409,O2O2 D_Multifocal_White_K2-DM,P5409,O2O2 D_Multifocal_White_K2-DM,Q5409,O2O2_Multifocal_45%_K2-DM,R5409,O2O2_Multifocal_45%_K2-DM
1-Day_Sph,S003,Clalen 1Day_20팩,P0001,1-Day_58,Q0001,1-Day_58,R0001,1-Day_58
1-Day_Sph,S111,Clalen 1Day_30팩(포장실적용),P0001,1-Day_58,Q0001,1-Day_58,R0001,1-Day_58
1-Day_Sph,T0002,1-Day_Metha_55,P0002,1-Day_Metha_55(구형리드지),Q0002,1-Day_Metha,R0002,1-Day_Metha
1-Day_Color_Sph,T0004,from 1day 38,P0004,from 1day 38,Q0004,from 38,R0004,from 38
1-Day_Sph,T0005,1-Day_58_M,P0005,1-Day_58_M,Q3081,1-day_58_Kontaktni-HA,R3081,1-day_58_Kontaktni-HA
1-Day_Sph,T0006,1-Day_Metha_Coastal,P0006,Metha_Coastal(신형리드지),Q0002,1-Day_Metha,R0002,1-Day_Metha
1-Day_Color_Sph,S119,Clalen D_Iris_Rhapsody_샘플(4P),P0007,1-Day_iris_Rhapsody,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,S120,Iris Rhapsody_40팩,P0007,1-Day_iris_Rhapsody,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,S121,Iris Rhapsody_낱개,P0007,1-Day_iris_Rhapsody,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,S125,10팩_Iris Rhapsody,P0007,1-Day_iris_Rhapsody,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,S133,Iris Rhapsody_30팩(포장실적용),P0007,1-Day_iris_Rhapsody,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,S157,Iris Rhapsody_90팩,P0007,1-Day_iris_Rhapsody,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,T0007,1-Day_iris_Rhapsody,P0007,1-Day_iris_Rhapsody,Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,S081,Clalen D_Iris_Latin_샘플(4P),P0008,1-Day_iris_Latin,Q0008,1-Day_iris_Latin,R0008,1-Day_iris_Latin
1-Day_Color_Sph,S126,Iris Latin_낱개,P0008,1-Day_iris_Latin,Q0008,1-Day_iris_Latin,R0008,1-Day_iris_Latin
1-Day_Color_Sph,S127,10팩_Iris Latin,P0008,1-Day_iris_Latin,Q0008,1-Day_iris_Latin,R0008,1-Day_iris_Latin
1-Day_Color_Sph,S128,Iris Latin_40팩,P0008,1-Day_iris_Latin,Q0008,1-Day_iris_Latin,R0008,1-Day_iris_Latin
1-Day_Color_Sph,S132,Iris Latin_30팩,P0008,1-Day_iris_Latin,Q0008,1-Day_iris_Latin,R0008,1-Day_iris_Latin
1-Day_Color_Sph,T0008,1-Day_iris_Latin,P0008,1-Day_iris_Latin,Q0008,1-Day_iris_Latin,R0008,1-Day_iris_Latin
1-Day_Sph,T0009,Metha_Daily,P0009,Metha_Daily,Q0002,1-Day_Metha,R0002,1-Day_Metha
1-Day_Color_Sph,S001,Iris Soul Brown_낱개,P0010,1-Day_iris_SoulBrown,Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,S006,Iris Soul Brown_30팩(포장실적용),p0010,1-Day_iris_SoulBrown,Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,S123,10팩_Iris Soul Brown,P0010,1-Day_iris_SoulBrown,Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,S129,Iris SoulBrown_40팩,p0010,1-Day_iris_SoulBrown,Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,S135,Clalen D_Iris_Soul Brown_샘플(4P),P0010,1-Day_iris_SoulBrown,Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,S156,Iris SoulBrown_90팩,p0010,1-Day_iris_SoulBrown,Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,T0010,1-Day_iris_SoulBrown,P0010,1-Day_iris_SoulBrown,Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,S002,Iris Jazz Black_낱개,P0011,1-Day_iris_JazzBlack,Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Color_Sph,S007,Iris Jazz Black_30팩(포장실적용),P0011,1-Day_iris_JazzBlack,Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Color_Sph,S079,Clalen D_Iris_Jazz Black_샘플(4P),P0011,1-Day_iris_JazzBlack,Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Color_Sph,S124,10팩_Iris Jazz Black,P0011,1-Day_iris_JazzBlack,Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Color_Sph,S130,Iris JazzBlack_40팩,P0011,1-Day_iris_JazzBlack,Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Color_Sph,T0011,1-Day_iris_JazzBlack,P0011,1-Day_iris_JazzBlack,Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Sph,T0013,1-Day_Contakt(5년),P0013,1-Day_Contakt(5년),Q3081,1-day_58_Kontaktni-HA,R3081,1-day_58_Kontaktni-HA
1-Day_Color_Sph,T0014,NewFusion_1-DAY,P0014,NewFusion_1-DAY,Q1002,S43-Dry,R1002,S43-Dry
1-Day_Sph,T0018,1-Day_Contakt(유효기간_8년),P0018,1-Day_Contakt(유효기간_8년),Q3081,1-day_58_Kontaktni-HA,R3081,1-day_58_Kontaktni-HA
1-Day_Color_Sph,S145,Iris SuzyGray_30팩,P0019,1-Day_iris_Suzy Gray,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
1-Day_Color_Sph,S146,Iris Suzy Gray_낱개,P0019,1-Day_iris_Suzy Gray,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
1-Day_Color_Sph,S155,Iris SuzyGray_90팩,P0019,1-Day_iris_Suzy Gray,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
1-Day_Color_Sph,S160,Clalen D_Iris_Suzy Gray_샘플(4P),P0019,1-Day_iris_Suzy Gray,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
1-Day_Color_Sph,T0019,1-Day_iris_Suzy Gray,P0019,1-Day_iris_Suzy Gray,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
1-Day_Color_Sph,T9906,Iris SuzyGray_30팩,P0019,1-Day_iris_Suzy Gray,Q0019,1-Day_iris_Suzy Gray,R0019,1-Day_iris_Suzy Gray
1-Day_Color_Sph,T0021,Bella-Contour_1-Day,P0021,Bella-Contour_1-Day,Q1002,S43-Dry,R1002,S43-Dry
1-Day_Color_Sph,T0022,Bella-Contour_14.5_1-Day,P0022,Bella-Contour_14.5_1-Day,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Color_Sph,T0024,Bella-Highlight_1-Day,P0024,Bella-Highlight_1-Day,Q1002,S43-Dry,R1002,S43-Dry
1-Day_Color_Sph,T0025,Bella-Natural_1-Day,P0025,Bella-Natural_1-Day,Q1002,S43-Dry,R1002,S43-Dry
1-Day_Color_Sph,T0026,Bella-Natural_14.5_1-Day,P0026,Bella-Natural_14.5_1-Day,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Color_Sph,T0027,Bella-Oneday_1-Day,P0027,Bella-Oneday_1-Day,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Color_Sph,T0028,Bella-SnowWhite_14.5_1-Day,P0028,Bella-SnowWhite_14.5_1-Day,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Color_Sph,T0030,Bella-Diamond_14.5_1-Day,P0030,Bella-Diamond_14.5_1-Day,Q1003,S43-Dry-14.5,R1003,S43-Dry-14.5
1-Day_Color_Sph,T0034,1-Day_Coastal_JazzBlack(신형리드지),P0034,Coastal_JazzBlack(신형),Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Color_Sph,T0035,1-Day_Coastal_SoulBrown(신형리드지),p0035,Coastal_SoulBrown(신형),Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Sph,T0036,1-Day_58(NEW),P0036,1-Day_58(NEW),Q3081,1-day_58_Kontaktni-HA,R3081,1-day_58_Kontaktni-HA
1-Day_Color_Sph,T0037,IRIS_Jazz black(NEW),P0037,IRIS_Jazz black(NEW),Q0011,1-Day_iris_JazzBlack,R0011,1-Day_iris_JazzBlack
1-Day_Color_Sph,T0038,IRIS_Soul Brown(NEW),P0038,IRIS_Soul Brown(NEW),Q0010,1-Day_iris_SoulBrown,R0010,1-Day_iris_SoulBrown
1-Day_Color_Sph,T0039,IRIS_Rhapsody(NEW),P0039,IRIS_Rhapsody(NEW),Q0007,1-Day_iris_Rhapsody,R0007,1-Day_iris_Rhapsody
1-Day_Color_Sph,T0047,PIA_water water_14.2_1-day,P0047,PIA_water water_14.2_1-day,Q0047,PIA_water water_14.2_1-day,R0047,PIA_water water_14.2_1-day
1-Day_Color_Sph,T0050,PIA_Cream Beige_14.4,P0050,PIA_Cream Beige_14.4,Q0050,PIA_Cream Beige_14.4,R0050,PIA_Cream Beige_14.4
1-Day_Color_Sph,T0051,PIA_Cream Grege_14.4,P0051,PIA_Cream Grege_14.4,Q0051,PIA_Cream Grege_14.4,R0051,PIA_Cream Grege_14.4
1-Day_Color_Sph,T0052,PIA_1-Day_Chocolate_14.4,P0052,PIA_1-Day_Chocolate_14.4,Q0052,PIA_Chocolate_14.4,R0052,PIA_Chocolate_14.4
1-Day_Color_Sph,T0053,PIA_Skin Beige_14.2,P0053,PIA_Skin Beige_14.2,Q0053,PIA_Skin Beige_14.2,R0053,PIA_Skin Beige_14.2
1-Day_Color_Sph,T0054,PIA_Skin Grege_14.2,P0054,PIA_Skin Grege_14.2,Q0054,PIA_Skin Grege_14.2,R0054,PIA_Skin Grege_14.2
FRP_Color_Sph,T0058,Skin Beige_중사각 14.5,P0058,Skin Beige_중사각 14.5,Q0058,Skin Beige_중사각 14.5,R0058,Skin Beige_중사각 14.5
