제품코드,제품명,파워,생산부족수량,납기,생산실적,진도율
P3015A-00.00,1-DAY58_Micure,-00.00,3810,01월 23일,0,0.0
P3015A-01.25,1-DAY58_Micure,-01.25,2640,01월 23일,0,0.0
P3015A-01.50,1-DAY58_Micure,-01.50,5510,01월 23일,0,0.0
P3015A-01.75,1-DAY58_Micure,-01.75,6210,01월 23일,0,0.0
P3015A-02.00,1-DAY58_Micure,-02.00,7910,01월 23일,0,0.0
P3015A-02.25,1-DAY58_Micure,-02.25,4250,01월 23일,0,0.0
P3015A-02.50,1-DAY58_Micure,-02.50,8020,01월 23일,0,0.0
P3015A-03.00,1-DAY58_Micure,-03.00,11960,01월 23일,0,0.0
P3015A-03.25,1-DAY58_Micure,-03.25,14000,01월 23일,0,0.0
P3015A-03.50,1-DAY58_Micure,-03.50,7350,01월 23일,0,0.0
P3015A-04.00,1-DAY58_Micure,-04.00,8000,01월 23일,0,0.0
P3015A-04.25,1-DAY58_Micure,-04.25,2960,01월 23일,0,0.0
P3015A-04.50,1-DAY58_Micure,-04.50,8000,01월 23일,0,0.0
P3015A-04.75,1-DAY58_Micure,-04.75,2030,01월 23일,0,0.0
P3015A-05.00,1-DAY58_Micure,-05.00,5330,01월 23일,0,0.0
P3015A-06.50,1-DAY58_Micure,-06.50,7460,01월 23일,0,0.0
P3015A-07.50,1-DAY58_Micure,-07.50,2650,01월 23일,0,0.0
P3015A-08.50,1-DAY58_Micure,-08.50,4670,01월 23일,0,0.0
P3015A-09.00,1-DAY58_Micure,-09.00,5780,01월 23일,0,0.0
P3015A-10.00,1-DAY58_Micure,-10.00,80,01월 23일,0,0.0
P3015A-10.50,1-DAY58_Micure,-10.50,1960,01월 23일,0,0.0
P3015A-12.00,1-DAY58_Micure,-12.00,220,01월 23일,0,0.0
P3081A+01.00,1-day_58_Kontaktni-HA,+01.00,2590,01월 23일,2800,1.0810810810810811
P3081A+01.25,1-day_58_Kontaktni-HA,+01.25,780,01월 23일,1690,2.1666666666666665
P3081A+01.50,1-day_58_Kontaktni-HA,+01.50,1820,01월 23일,4040,2.21978021978022
P3081A+01.75,1-day_58_Kontaktni-HA,+01.75,5060,01월 23일,3925,0.775691699604743
P3081A+02.00,1-day_58_Kontaktni-HA,+02.00,1940,01월 23일,1545,0.7963917525773195
P3081A+02.25,1-day_58_Kontaktni-HA,+02.25,4470,01월 23일,4980,1.1140939597315436
P3081A+02.50,1-day_58_Kontaktni-HA,+02.50,2600,01월 23일,4270,1.6423076923076922
P3081A+02.75,1-day_58_Kontaktni-HA,+02.75,1950,01월 23일,1445,0.7410256410256411
P3081A+03.00,1-day_58_Kontaktni-HA,+03.00,480,01월 23일,1295,2.6979166666666665
P3081A+03.25,1-day_58_Kontaktni-HA,+03.25,3590,01월 23일,4680,1.3036211699164346
P3081A+03.50,1-day_58_Kontaktni-HA,+03.50,1940,01월 23일,3245,1.672680412371134
P3081A+03.75,1-day_58_Kontaktni-HA,+03.75,350,01월 23일,1585,4.5285714285714285
P3081A+04.00,1-day_58_Kontaktni-HA,+04.00,3340,01월 23일,4520,1.3532934131736527
P3081A+04.25,1-day_58_Kontaktni-HA,+04.25,790,01월 23일,2200,2.7848101265822787
