제품코드,제품명,파워,생산부족수량,납기,생산실적,진도율
P3015A-01.25,1-DAY58_Micure,-1.25,10640,,0,0.0
P3015A-01.50,1-DAY58_Micure,-1.5,13510,,0,0.0
P3015A-01.75,1-DAY58_Micure,-1.75,14210,,0,0.0
P3015A-02.00,1-DAY58_Micure,-2,15910,,0,0.0
P3015A-02.25,1-DAY58_Micure,-2.25,22950,,0,0.0
P3015A-02.50,1-DAY58_Micure,-2.5,53690,,0,0.0
P3015A-02.75,1-DAY58_Micure,-2.75,13560,,0,0.0
P3015A-03.00,1-DAY58_Micure,-3,51960,,0,0.0
P3015A-03.25,1-DAY58_Micure,-3.25,22000,,0,0.0
P3015A-03.50,1-DAY58_Micure,-3.5,31350,,0,0.0
P3015A-03.75,1-DAY58_Micure,-3.75,34970,,0,0.0
P3015A-04.00,1-DAY58_Micure,-4,47140,,0,0.0
P3015A-04.25,1-DAY58_Micure,-4.25,26960,,0,0.0
P3015A-04.50,1-DAY58_Micure,-4.5,33080,,0,0.0
P3015A-04.75,1-DAY58_Micure,-4.75,80030,,0,0.0
P3015A-05.00,1-DAY58_Micure,-5,29330,,0,0.0
P3015A-05.25,1-DAY58_Micure,-5.25,17100,,0,0.0
P3015A-05.50,1-DAY58_Micure,-5.5,17160,,0,0.0
P3015A-05.75,1-DAY58_Micure,-5.75,9340,,0,0.0
P3015A-06.00,1-DAY58_Micure,-6,14410,,0,0.0
P3015A-06.50,1-DAY58_Micure,-6.5,23460,,0,0.0
P3015A-07.00,1-DAY58_Micure,-7,22730,,0,0.0
P3015A-07.50,1-DAY58_Micure,-7.5,18650,,0,0.0
P3015A-08.50,1-DAY58_Micure,-8.5,12670,,0,0.0
P3015A-09.00,1-DAY58_Micure,-9,5780,,0,0.0
P3015A-10.00,1-DAY58_Micure,-10,80,,0,0.0
P3015A-10.50,1-DAY58_Micure,-10.5,1960,,0,0.0
P3015A-12.00,1-DAY58_Micure,-12,220,,0,0.0
P3081A+01.00,1-day_58_Kontaktni-HA,1,2590,01월 23일,2800,1.0810810810810811
P3081A+01.25,1-day_58_Kontaktni-HA,1.25,780,01월 23일,1690,2.1666666666666665
P3081A+01.50,1-day_58_Kontaktni-HA,1.5,1820,01월 23일,4040,2.21978021978022
P3081A+01.75,1-day_58_Kontaktni-HA,1.75,5060,01월 23일,6345,1.2539525691699605
P3081A+02.00,1-day_58_Kontaktni-HA,2,1940,01월 23일,1545,0.7963917525773195
P3081A+02.25,1-day_58_Kontaktni-HA,2.25,4470,01월 23일,4980,1.1140939597315436
P3081A+02.50,1-day_58_Kontaktni-HA,2.5,2600,01월 23일,4270,1.6423076923076922
P3081A+02.75,1-day_58_Kontaktni-HA,2.75,1950,01월 23일,1445,0.7410256410256411
P3081A+03.00,1-day_58_Kontaktni-HA,3,480,01월 23일,1295,2.6979166666666665
P3081A+03.25,1-day_58_Kontaktni-HA,3.25,3590,01월 23일,4680,1.3036211699164346
P3081A+03.50,1-day_58_Kontaktni-HA,3.5,1940,01월 23일,3245,1.672680412371134
P3081A+03.75,1-day_58_Kontaktni-HA,3.75,350,01월 23일,1585,4.5285714285714285
P3081A+04.00,1-day_58_Kontaktni-HA,4,3340,01월 23일,4520,1.3532934131736527
P3081A+04.25,1-day_58_Kontaktni-HA,4.25,790,01월 23일,2200,2.7848101265822787
P3081A+04.50,1-day_58_Kontaktni-HA,4.5,2380,01월 23일,5040,2.1176470588235294
P3081A+05.00,1-day_58_Kontaktni-HA,5,2670,01월 23일,1790,0.6704119850187266
P3081A+05.50,1-day_58_Kontaktni-HA,5.5,1870,01월 23일,2230,1.1925133689839573
P3081A+06.00,1-day_58_Kontaktni-HA,6,5330,01월 23일,6720,1.2607879924953096
P3081A-01.00,1-day_58_Kontaktni-HA,-1,7300,01월 23일,7260,0.9945205479452055
P3081A-01.25,1-day_58_Kontaktni-HA,-1.25,11470,01월 23일,6235,0.54359197907585
P3081A-01.50,1-day_58_Kontaktni-HA,-1.5,35680,01월 23일,33325,0.9339966367713004
P3081A-01.75,1-day_58_Kontaktni-HA,-1.75,24730,01월 23일,18380,0.7432268499797816
P3081A-02.00,1-day_58_Kontaktni-HA,-2,32300,01월 23일,25365,0.7852941176470588
P3081A-02.25,1-day_58_Kontaktni-HA,-2.25,28340,01월 23일,30405,1.072865208186309
P3081A-02.50,1-day_58_Kontaktni-HA,-2.5,42860,01월 23일,35750,0.8341110592627158
P3081A-02.75,1-day_58_Kontaktni-HA,-2.75,33460,01월 23일,27210,0.8132098027495517
P3081A-03.00,1-day_58_Kontaktni-HA,-3,37880,01월 23일,35990,0.9501055966209081
P3081A-03.25,1-day_58_Kontaktni-HA,-3.25,26060,01월 23일,19820,0.760552570990023
P3081A-03.50,1-day_58_Kontaktni-HA,-3.5,35950,01월 23일,36600,1.0180806675938805
P3081A-03.75,1-day_58_Kontaktni-HA,-3.75,36260,01월 23일,34265,0.944980694980695
P3081A-04.00,1-day_58_Kontaktni-HA,-4,22630,01월 23일,15755,0.6961997348652231
P3081A-04.25,1-day_58_Kontaktni-HA,-4.25,4250,01월 23일,2470,0.5811764705882353
P3081A-04.50,1-day_58_Kontaktni-HA,-4.5,31400,01월 23일,29395,0.9361464968152866
P3081A-04.75,1-day_58_Kontaktni-HA,-4.75,4030,01월 23일,8360,2.074441687344913
P3081A-05.00,1-day_58_Kontaktni-HA,-5,9690,01월 23일,12655,1.305985552115583
P3081A-05.25,1-day_58_Kontaktni-HA,-5.25,10360,01월 23일,9555,0.9222972972972973
P3081A-05.50,1-day_58_Kontaktni-HA,-5.5,5810,01월 23일,13780,2.3717728055077454
P3081A-05.75,1-day_58_Kontaktni-HA,-5.75,7060,01월 23일,4920,0.6968838526912181
P3081A-06.00,1-day_58_Kontaktni-HA,-6,11250,01월 23일,10180,0.9048888888888889
P3081A-06.50,1-day_58_Kontaktni-HA,-6.5,15990,01월 23일,14480,0.9055659787367104
P3081A-07.00,1-day_58_Kontaktni-HA,-7,2880,01월 23일,4000,1.3888888888888888
P3081A-07.50,1-day_58_Kontaktni-HA,-7.5,4120,01월 23일,5780,1.4029126213592233
P3016A-00.50,1-DAY(OPTIC CENTER),-0.5,5435,02월 01일,0,0.0
P3016A-00.75,1-DAY(OPTIC CENTER),-0.75,10285,02월 01일,0,0.0
P3016A-01.00,1-DAY(OPTIC CENTER),-1,23110,02월 01일,0,0.0
P3016A-01.25,1-DAY(OPTIC CENTER),-1.25,20915,02월 01일,0,0.0
P3016A-01.50,1-DAY(OPTIC CENTER),-1.5,36515,02월 01일,0,0.0
P3016A-01.75,1-DAY(OPTIC CENTER),-1.75,36550,02월 01일,0,0.0
P3016A-02.00,1-DAY(OPTIC CENTER),-2,51325,02월 01일,0,0.0
P3016A-02.25,1-DAY(OPTIC CENTER),-2.25,32785,02월 01일,0,0.0
P3016A-02.50,1-DAY(OPTIC CENTER),-2.5,64555,02월 01일,0,0.0
