생산일자,공정코드,품목코드,품명,양품수량,생산수량,상태
2025-01-10,[10] 사출조립,R3407-04.50ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.50ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.50ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.50ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-10,[20] 분리,Q3407-04.50ASG,O2O2 D_Ash Gray EX,"1,602","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-10,[10] 사출조립,R3407-04.25ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-10,[10] 사출조립,R3407-04.00ASG,O2O2 D_Ash Gray EX,"2,230","2,230",확인
2025-01-10,[10] 사출조립,R3407-04.00ASG,O2O2 D_Ash Gray EX,"2,443","2,443",확인
2025-01-11,[20] 분리,Q3407-04.00ASG,O2O2 D_Ash Gray EX,"1,936","2,230",확인
2025-01-11,[20] 분리,Q3407-04.00ASG,O2O2 D_Ash Gray EX,"2,104","2,443",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"2,100","2,443",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"1,866","2,230",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"1,253","2,443",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"1,618","2,230",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"1,735","2,443",확인
2025-01-11,[20] 분리,Q3407-04.50ASG,O2O2 D_Ash Gray EX,"1,954","2,230",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"1,899","2,230",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"1,966","2,443",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"2,050","2,443",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"2,190","2,443",확인
2025-01-11,[20] 분리,Q3407-04.50ASG,O2O2 D_Ash Gray EX,"1,829","2,230",확인
2025-01-11,[20] 분리,Q3407-04.50ASG,O2O2 D_Ash Gray EX,"1,874","2,230",확인
2025-01-11,[20] 분리,Q3407-04.25ASG,O2O2 D_Ash Gray EX,"1,972","2,443",확인
2025-01-12,[10] 사출조립,R3407-03.75ASG,O2O2 D_Ash Gray EX,"2,287","2,287",확인
2025-01-12,[10] 사출조립,R3407-03.75ASG,O2O2 D_Ash Gray EX,"2,287","2,287",확인
2025-01-12,[10] 사출조립,R3407-03.75ASG,O2O2 D_Ash Gray EX,"2,287","2,287",확인
2025-01-12,[10] 사출조립,R3407-03.75ASG,O2O2 D_Ash Gray EX,"2,287","2,287",확인
2025-01-12,[10] 사출조립,R3407-04.00ASG,O2O2 D_Ash Gray EX,"2,287","2,287",확인
2025-01-12,[10] 사출조립,R3407-04.00ASG,O2O2 D_Ash Gray EX,"2,287","2,287",확인
2025-01-12,[10] 사출조립,R3407-04.00ASG,O2O2 D_Ash Gray EX,"2,287","2,287",확인
