품목코드,품명,사출창고,분리창고,검사접착,누수규격,완제품,불용재고
P0005A8.60+00.25,1-Day_58_M,0,0,0,0,855,0
P0005A8.60+00.50,1-Day_58_M,0,0,0,0,1095,0
P0005A8.60+00.75,1-Day_58_M,0,0,0,0,1070,0
P0005A8.60+01.00,1-Day_58_M,0,0,0,0,1690,0
P0005A8.60+01.25,1-Day_58_M,0,0,0,0,920,0
P0005A8.60+01.50,1-Day_58_M,0,0,0,0,6280,0
P0005A8.60+01.75,1-Day_58_M,0,0,0,0,1190,0
P0005A8.60+02.00,1-Day_58_M,0,0,0,0,5100,0
P0005A8.60+02.25,1-Day_58_M,0,0,0,0,1905,0
P0005A8.60+02.50,1-Day_58_M,0,0,0,0,485,0
P0005A8.60+02.75,1-Day_58_M,0,0,0,0,1020,0
P0005A8.60+03.00,1-Day_58_M,0,0,0,0,3070,0
P0005A8.60+03.25,1-Day_58_M,0,0,0,0,2935,0
P0005A8.60+03.50,1-Day_58_M,0,0,0,0,1945,0
P0005A8.60+03.75,1-Day_58_M,0,0,0,0,330,0
P0005A8.60+04.00,1-Day_58_M,0,0,0,0,2995,0
P0005A8.60+04.50,1-Day_58_M,0,0,0,0,585,0
P0005A8.60+05.00,1-Day_58_M,0,0,0,0,1220,0
P0005A8.60+05.50,1-Day_58_M,0,0,0,0,3100,0
P0005A8.60+05.75,1-Day_58_M,0,0,0,0,1930,0
P0005A8.60+06.00,1-Day_58_M,0,0,0,0,2185,0
P0005A8.60-00.25,1-Day_58_M,0,0,0,0,1135,0
P0005A8.60-00.50,1-Day_58_M,0,0,0,0,6230,0
P0005A8.60-00.75,1-Day_58_M,0,0,0,0,4835,0
P0005A8.60-01.00,1-Day_58_M,0,0,0,0,13740,0
P0005A8.60-01.25,1-Day_58_M,0,0,0,0,12630,0
P0005A8.60-01.50,1-Day_58_M,0,0,0,0,20520,0
P0005A8.60-01.75,1-Day_58_M,0,0,0,0,14870,0
P0005A8.60-02.00,1-Day_58_M,0,0,0,0,18115,0
P0005A8.60-02.25,1-Day_58_M,0,0,0,0,14850,0
P0005A8.60-02.50,1-Day_58_M,0,0,0,0,22495,0
P0005A8.60-02.75,1-Day_58_M,0,0,0,0,13815,0
P0005A8.60-03.00,1-Day_58_M,0,0,0,0,11490,0
P0005A8.60-03.25,1-Day_58_M,0,0,0,0,16310,0
P0005A8.60-03.50,1-Day_58_M,0,0,0,0,11725,0
P0005A8.60-03.75,1-Day_58_M,0,0,0,0,10980,0
P0005A8.60-04.00,1-Day_58_M,0,0,0,0,8650,0
P0005A8.60-04.25,1-Day_58_M,0,0,0,0,13110,0
P0005A8.60-04.50,1-Day_58_M,0,0,0,0,12425,0
P0005A8.60-04.75,1-Day_58_M,0,0,0,0,9115,0
P0005A8.60-05.00,1-Day_58_M,0,0,0,0,8690,0
P0005A8.60-05.25,1-Day_58_M,0,0,0,0,2970,0
P0005A8.60-05.50,1-Day_58_M,0,0,0,0,9285,0
P0005A8.60-05.75,1-Day_58_M,0,0,0,0,1830,0
P0005A8.60-06.00,1-Day_58_M,0,0,0,0,8545,0
P0005A8.60-06.50,1-Day_58_M,0,0,0,0,9215,0
P0005A8.60-07.00,1-Day_58_M,0,0,0,0,5615,0
P0005A8.60-07.50,1-Day_58_M,0,0,0,0,4600,0
P0005A8.60-08.00,1-Day_58_M,0,0,0,0,3515,0
P0005A8.60-08.50,1-Day_58_M,0,0,0,0,2360,0
P0005A8.60-09.00,1-Day_58_M,0,0,0,0,1870,0
P0005A8.60-09.50,1-Day_58_M,0,0,0,0,3155,0
P0005A8.60-10.00,1-Day_58_M,0,0,0,0,945,0
P0005A8.60-10.50,1-Day_58_M,0,0,0,0,9555,0
P0005A8.60-11.00,1-Day_58_M,0,0,0,0,4160,0
P0005A8.60-11.50,1-Day_58_M,0,0,0,0,2080,0
P0005A8.60-12.00,1-Day_58_M,0,0,0,0,675,0
P0006A8.60+00.25,1-Day_Metha_Coastal,0,0,0,0,2335,0
P0006A8.60+00.50,1-Day_Metha_Coastal,0,0,0,0,2060,0
P0006A8.60+00.75,1-Day_Metha_Coastal,0,0,0,0,2575,0
P0006A8.60+01.00,1-Day_Metha_Coastal,0,0,0,0,2655,0
P0006A8.60+01.25,1-Day_Metha_Coastal,0,0,0,0,250,0
P0006A8.60+01.50,1-Day_Metha_Coastal,0,0,0,0,1195,0
P0006A8.60+01.75,1-Day_Metha_Coastal,0,0,0,0,300,0
P0006A8.60+02.00,1-Day_Metha_Coastal,0,0,0,0,1430,0
P0006A8.60+02.25,1-Day_Metha_Coastal,0,0,0,0,1130,0
P0006A8.60+02.50,1-Day_Metha_Coastal,0,0,0,0,3045,0
P0006A8.60+02.75,1-Day_Metha_Coastal,0,0,0,0,885,0
P0006A8.60+03.00,1-Day_Metha_Coastal,0,0,0,0,670,0
P0006A8.60+03.25,1-Day_Metha_Coastal,0,0,0,0,1345,0
P0006A8.60+03.50,1-Day_Metha_Coastal,0,0,0,0,1610,0
P0006A8.60+03.75,1-Day_Metha_Coastal,0,0,0,0,990,0
P0006A8.60+04.00,1-Day_Metha_Coastal,0,0,0,0,1205,0
P0006A8.60+04.25,1-Day_Metha_Coastal,0,0,0,0,395,0
P0006A8.60+04.50,1-Day_Metha_Coastal,0,0,0,0,1780,0
P0006A8.60+04.75,1-Day_Metha_Coastal,0,0,0,0,1405,0
P0006A8.60+05.00,1-Day_Metha_Coastal,0,0,0,0,0,0
P0006A8.60+05.25,1-Day_Metha_Coastal,0,0,0,0,1315,0
P0006A8.60+05.50,1-Day_Metha_Coastal,0,0,0,0,1400,0
P0006A8.60+05.75,1-Day_Metha_Coastal,0,0,0,0,1800,0
P0006A8.60+06.00,1-Day_Metha_Coastal,0,0,0,0,340,0
P0006A8.60-00.00,1-Day_Metha_Coastal,0,0,0,0,355,0
P0006A8.60-00.25,1-Day_Metha_Coastal,0,0,0,0,660,0
P0006A8.60-00.50,1-Day_Metha_Coastal,0,0,0,0,2520,0
P0006A8.60-00.75,1-Day_Metha_Coastal,0,0,0,0,2165,0
P0006A8.60-01.00,1-Day_Metha_Coastal,0,0,0,0,4385,0
P0006A8.60-01.25,1-Day_Metha_Coastal,0,0,0,0,601,0
P0006A8.60-01.50,1-Day_Metha_Coastal,0,0,0,0,1330,0
P0006A8.60-01.75,1-Day_Metha_Coastal,0,0,0,0,5880,0
P0006A8.60-02.00,1-Day_Metha_Coastal,0,0,0,0,835,0
P0006A8.60-02.25,1-Day_Metha_Coastal,0,0,0,0,1285,0
P0006A8.60-02.50,1-Day_Metha_Coastal,0,0,0,0,14625,0
P0006A8.60-02.75,1-Day_Metha_Coastal,0,0,0,0,1035,0
P0006A8.60-03.00,1-Day_Metha_Coastal,0,0,0,0,1100,0
P0006A8.60-03.25,1-Day_Metha_Coastal,0,0,0,0,170,0
P0006A8.60-03.50,1-Day_Metha_Coastal,0,0,0,0,1790,0
P0006A8.60-03.75,1-Day_Metha_Coastal,0,0,0,0,1325,0
P0006A8.60-04.00,1-Day_Metha_Coastal,0,0,0,0,1340,0
P0006A8.60-04.25,1-Day_Metha_Coastal,0,0,0,0,1320,0
P0006A8.60-04.50,1-Day_Metha_Coastal,0,0,0,0,4230,0
P0006A8.60-04.75,1-Day_Metha_Coastal,0,0,0,0,3755,0
P0006A8.60-05.00,1-Day_Metha_Coastal,0,0,0,0,9540,0
P0006A8.60-05.25,1-Day_Metha_Coastal,0,0,0,0,4065,0
P0006A8.60-05.50,1-Day_Metha_Coastal,0,0,0,0,14570,0
P0006A8.60-05.75,1-Day_Metha_Coastal,0,0,0,0,20930,0
P0006A8.60-06.00,1-Day_Metha_Coastal,0,0,0,0,1065,0
P0006A8.60-06.50,1-Day_Metha_Coastal,0,0,0,0,1825,0
P0006A8.60-07.00,1-Day_Metha_Coastal,0,0,0,0,5690,0
P0006A8.60-07.50,1-Day_Metha_Coastal,0,0,0,0,1675,0
P0006A8.60-08.00,1-Day_Metha_Coastal,0,0,0,0,2325,0
P0006A8.60-08.50,1-Day_Metha_Coastal,0,0,0,0,2840,0
P0006A8.60-09.00,1-Day_Metha_Coastal,0,0,0,0,1640,0
P0006A8.60-09.50,1-Day_Metha_Coastal,0,0,0,0,5095,0
P0006A8.60-10.00,1-Day_Metha_Coastal,0,0,0,0,1045,0
P0006A8.60-10.50,1-Day_Metha_Coastal,0,0,0,0,1600,0
P0006A8.60-11.00,1-Day_Metha_Coastal,0,0,0,0,3265,0
P0006A8.60-11.50,1-Day_Metha_Coastal,0,0,0,0,4715,0
P0006A8.60-12.00,1-Day_Metha_Coastal,0,0,0,0,4635,0
P0007A-00.00RHA2,1-Day_iris_Rhapsody,0,0,6655,2950,89840,0
P0007A-00.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,14530,0
P0007A-00.75RHA2,1-Day_iris_Rhapsody,0,0,0,0,12135,0
P0007A-01.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,19855,0
P0007A-01.25RHA2,1-Day_iris_Rhapsody,0,0,0,0,0,0
P0007A-01.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,37470,0
P0007A-01.75RHA2,1-Day_iris_Rhapsody,0,0,0,0,50825,0
P0007A-02.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,46720,0
P0007A-02.25RHA2,1-Day_iris_Rhapsody,0,0,0,0,57135,0
P0007A-02.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,44470,0
P0007A-02.75RHA2,1-Day_iris_Rhapsody,0,0,0,0,52740,0
P0007A-03.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,75110,0
P0007A-03.25RHA2,1-Day_iris_Rhapsody,0,0,0,0,35215,0
P0007A-03.50RHA2,1-Day_iris_Rhapsody,0,0,0,3105,79280,0
P0007A-03.75RHA2,1-Day_iris_Rhapsody,0,0,0,0,66850,0
P0007A-04.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,47765,0
P0007A-04.25RHA2,1-Day_iris_Rhapsody,0,0,0,3015,53825,0
P0007A-04.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,56940,0
P0007A-04.75RHA2,1-Day_iris_Rhapsody,0,0,880,0,41740,0
P0007A-05.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,69065,0
P0007A-05.25RHA2,1-Day_iris_Rhapsody,0,0,0,0,54875,0
P0007A-05.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,63120,0
P0007A-05.75RHA2,1-Day_iris_Rhapsody,0,0,0,0,35350,0
P0007A-06.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,42950,0
P0007A-06.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,49750,0
P0007A-07.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,34110,0
P0007A-07.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,15640,0
P0007A-08.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,32235,0
P0007A-08.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,21030,0
P0007A-09.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,14230,0
P0007A-09.50RHA2,1-Day_iris_Rhapsody,0,0,0,0,12290,0
P0007A-10.00RHA2,1-Day_iris_Rhapsody,0,0,0,0,15715,0
P0008A-00.00LAT2,1-Day_iris_Latin,0,0,0,0,14855,0
P0008A-00.50LAT2,1-Day_iris_Latin,0,0,0,0,12370,0
P0008A-00.75LAT2,1-Day_iris_Latin,0,0,0,0,9925,0
P0008A-01.00LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-01.25LAT2,1-Day_iris_Latin,0,0,0,0,3065,0
P0008A-01.50LAT2,1-Day_iris_Latin,0,0,0,0,14920,0
P0008A-01.75LAT2,1-Day_iris_Latin,0,0,0,0,9335,0
P0008A-02.00LAT2,1-Day_iris_Latin,0,0,0,0,6360,0
P0008A-02.25LAT2,1-Day_iris_Latin,0,0,0,0,9015,0
P0008A-02.50LAT2,1-Day_iris_Latin,0,0,0,0,4610,0
P0008A-02.75LAT2,1-Day_iris_Latin,0,0,0,0,5215,0
P0008A-03.00LAT2,1-Day_iris_Latin,0,0,0,0,5755,0
P0008A-03.25LAT2,1-Day_iris_Latin,0,0,0,0,3140,0
P0008A-03.50LAT2,1-Day_iris_Latin,0,0,0,0,4470,0
P0008A-03.75LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-04.00LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-04.25LAT2,1-Day_iris_Latin,0,0,0,0,0,0
P0008A-04.50LAT2,1-Day_iris_Latin,0,0,0,0,22250,0
P0008A-04.75LAT2,1-Day_iris_Latin,0,0,0,0,15765,0
P0008A-05.00LAT2,1-Day_iris_Latin,0,0,0,0,3190,0
P0008A-05.25LAT2,1-Day_iris_Latin,0,0,0,0,30420,0
P0008A-05.50LAT2,1-Day_iris_Latin,0,0,0,0,15010,0
P0008A-05.75LAT2,1-Day_iris_Latin,0,0,0,0,2470,0
