생산일자,판매코드,판매명,품목코드,제품명,실적수량,수주번호,이니셜,구분
2026-01-20,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,"1,380",202601050001.0,,국내
2026-01-20,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,"1,170",202601050001.0,,국내
2026-01-20,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,"1,950",202601050001.0,,국내
2026-01-20,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,"1,620",202601050001.0,,국내
2026-01-20,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,200",202601050001.0,,국내
2026-01-20,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,290",202601050001.0,,국내
2026-01-20,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,080",202601050001.0,,국내
2026-01-20,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,600,202601050001.0,,국내
2026-01-20,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,020",202601050001.0,,국내
2026-01-20,S615-02.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-02.25SPC,O2O2 D_Sepia Choco EX,"1,200",202601050001.0,,국내
2026-01-20,S615-04.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-04.25SPC,O2O2 D_Sepia Choco EX,"1,020",202601050001.0,,국내
2026-01-20,S615-04.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-04.25SPC,O2O2 D_Sepia Choco EX,"1,740",202601050001.0,,국내
2026-01-20,S615-04.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-04.25SPC,O2O2 D_Sepia Choco EX,"1,620",202601050001.0,,국내
2026-01-20,S615-04.25,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-04.25SPC,O2O2 D_Sepia Choco EX,"1,830",202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,480,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,420,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,630,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,480,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,720,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,360,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,600,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,870,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,690,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,660,202601050001.0,,국내
2026-01-21,S625-00.00,Clalen O2O2 D_Blending Hazel EX_30P,P3408A-00.00BRW,O2O2 D_Blending Hazel EX,240,202601050001.0,,국내
2026-01-23,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,720,202601050001.0,,국내
2026-01-23,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,"1,410",202601050001.0,,국내
2026-01-23,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,"1,110",202601050001.0,,국내
2026-01-23,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,780,202601050001.0,,국내
2026-01-23,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,510,202601050001.0,,국내
2026-01-23,S615-00.00,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-00.00SPC,O2O2 D_Sepia Choco EX,"1,650",202601050001.0,,국내
