시작일자,종료일자,멸균LOT,유효기간(5년),유효기간(8년)
2018-01-08,2018-01-21,OE83,2022-12-31,2025-12-31
2018-01-22,2018-02-04,OE84,2022-12-31,2025-12-31
2018-02-05,2018-02-18,OE85,2023-01-31,2026-01-31
2018-02-19,2018-03-04,OE86,2023-01-31,2026-01-31
2018-03-05,2018-03-18,OE87,2023-02-28,2026-02-28
2018-03-19,2018-04-01,OE88,2023-02-28,2026-02-28
2018-04-02,2018-04-15,OE89,2023-03-31,2026-03-31
2018-04-16,2018-04-29,OE90,2023-03-31,2026-03-31
2018-04-30,2018-05-13,OE91,2023-03-31,2026-03-31
2018-05-14,2018-05-27,OE92,2023-04-30,2026-04-30
2018-05-28,2018-06-10,OE93,2023-04-30,2026-04-30
2018-06-11,2018-06-24,OE94,2023-05-31,2026-05-31
2018-06-25,2018-07-08,OE95,2023-05-31,2026-05-31
2018-07-09,2018-07-22,OE96,2023-06-30,2026-06-30
2018-07-23,2018-08-05,OE97,2023-06-30,2026-06-30
2018-08-06,2018-08-19,OE98,2023-07-31,2026-07-31
2018-08-28,2018-09-02,OE99,2023-07-31,2026-07-31
2018-09-03,2018-09-16,OF01,2023-08-31,2026-08-31
2018-09-17,2018-09-30,OF02,2023-08-31,2026-08-31
2018-10-01,2018-10-14,OF03,2023-09-30,2026-09-30
2018-10-15,2018-10-28,OF04,2023-09-30,2026-09-30
2018-10-29,2018-11-11,OF05,2023-09-30,2026-09-30
2018-11-12,2018-11-25,OF06,2023-10-31,2026-10-31
2018-11-26,2018-12-09,OF07,2023-10-31,2026-10-31
2018-12-10,2018-12-23,OF08,2023-11-30,2026-11-30
2018-12-24,2019-01-06,OF09,2023-11-30,2026-11-30
2019-01-07,2019-01-20,OF10,2023-12-31,2026-12-31
2019-01-21,2019-02-03,OF11,2023-12-31,2026-12-31
2019-02-04,2019-02-17,OF12,2024-01-31,2027-01-31
2019-02-18,2019-03-03,OF13,2024-01-31,2027-01-31
2019-03-04,2019-03-17,OF14,2024-02-29,2027-02-28
2019-03-18,2019-03-31,OF15,2024-02-29,2027-02-28
2019-04-01,2019-04-14,OF16,2024-03-31,2027-03-31
2019-04-15,2019-04-28,OF17,2024-03-31,2027-03-31
2019-04-29,2019-05-12,OF18,2024-03-31,2027-03-31
2019-05-13,2019-05-26,OF19,2024-04-30,2027-04-30
2019-05-27,2019-06-09,OF20,2024-04-30,2027-04-30
2019-06-10,2019-06-23,OF21,2024-05-31,2027-05-31
2019-06-24,2019-07-07,OF22,2024-05-31,2027-05-31
2019-07-08,2019-07-21,OF23,2024-06-30,2027-06-30
2019-07-22,2019-08-04,OF24,2024-06-30,2027-06-30
2019-08-05,2019-08-18,OF25,2024-07-31,2027-07-31
2019-08-19,2019-09-01,OF26,2024-07-31,2027-07-31
2019-09-02,2019-09-15,OF27,2024-08-31,2027-08-31
2019-09-16,2019-09-29,OF28,2024-08-31,2027-08-31
2019-09-30,2019-10-13,OF29,2024-08-31,2027-08-31
2019-10-14,2019-10-27,OF30,2024-09-30,2027-09-30
2019-10-28,2019-11-10,OF31,2024-09-30,2027-09-30
2019-11-11,2019-11-24,OF32,2024-10-31,2027-10-31
2019-11-25,2019-12-08,OF33,2024-10-31,2027-10-31
2019-12-09,2019-12-22,OF34,2024-11-30,2027-11-30
2019-12-23,2020-01-05,OF35,2024-11-30,2027-11-30
2020-01-06,2020-01-19,OF36,2024-12-31,2027-12-31
2020-01-20,2020-02-02,OF37,2024-12-31,2027-12-31
2020-02-03,2020-02-16,OF38,2025-01-31,2028-01-31
2020-02-17,2020-03-01,OF39,2025-01-31,2028-01-31
2020-03-02,2020-03-15,OF40,2025-02-28,2028-02-29
2020-03-16,2020-03-29,OF41,2025-02-28,2028-02-29
2020-03-30,2020-04-12,OF42,2025-02-28,2028-02-29
2020-04-13,2020-04-26,OF43,2025-03-31,2028-03-31
2020-04-27,2020-05-10,OF44,2025-03-31,2028-03-31
2020-05-11,2020-05-24,OF45,2025-04-30,2028-04-30
2020-05-25,2020-06-07,OF46,2025-04-30,2028-04-30
2020-06-08,2020-06-21,OF47,2025-05-31,2028-05-31
2020-06-22,2020-07-05,OF48,2025-05-31,2028-05-31
2020-07-06,2020-07-19,OF49,2025-06-30,2028-06-30
2020-07-20,2020-08-02,OF50,2025-06-30,2028-06-30
2020-08-03,2020-08-16,OF51,2025-07-31,2028-07-31
2020-08-17,2020-08-30,OF52,2025-07-31,2028-07-31
2020-08-31,2020-09-13,OF53,2025-07-31,2028-07-31
2020-09-14,2020-09-27,OF54,2025-08-31,2028-08-31
2020-09-28,2020-10-11,OF55,2025-08-31,2028-08-31
2020-10-12,2020-10-25,OF56,2025-09-30,2028-09-30
2020-10-26,2020-11-08,OF57,2025-09-30,2028-09-30
2020-11-09,2020-11-22,OF58,2025-10-31,2028-10-31
2020-11-23,2020-12-06,OF59,2025-10-31,2028-10-31
2020-12-07,2020-12-20,OF60,2025-11-30,2028-11-30
2020-12-21,2021-01-03,OF61,2025-11-30,2028-11-30
2021-01-04,2021-01-17,OF62,2025-12-31,2028-12-31
2021-01-18,2021-01-31,OF63,2025-12-31,2028-12-31
2021-02-01,2021-02-14,OF64,2026-01-31,2029-01-31
2021-02-15,2021-02-28,OF65,2026-01-31,2029-01-31
2021-03-01,2021-03-14,OF66,2026-02-28,2029-02-28
2021-03-15,2021-03-28,OF67,2026-02-28,2029-02-28
2021-03-29,2021-04-11,OF68,2026-02-28,2029-02-28
2021-04-12,2021-04-25,OF69,2026-03-31,2029-03-31
2021-04-26,2021-05-09,OF70,2026-03-31,2029-03-31
2021-05-10,2021-05-23,OF71,2026-04-30,2029-04-30
2021-05-24,2021-06-06,OF72,2026-04-30,2029-04-30
2021-06-07,2021-06-20,OF73,2026-05-31,2029-05-31
2021-06-21,2021-07-04,OF74,2026-05-31,2029-05-31
2021-07-05,2021-07-18,OF75,2026-06-30,2029-06-30
2021-07-19,2021-08-01,OF76,2026-06-30,2029-06-30
2021-08-02,2021-08-15,OF77,2026-07-31,2029-07-31
2021-08-16,2021-08-29,OF78,2026-07-31,2029-07-31
2021-08-30,2021-09-12,OF79,2026-07-31,2029-07-31
2021-09-13,2021-09-26,OF80,2026-08-31,2029-08-31
2021-09-27,2021-10-10,OF81,2026-08-31,2029-08-31
2021-10-11,2021-10-24,OF82,2026-09-30,2029-09-30
2021-10-25,2021-11-07,OF83,2026-09-30,2029-09-30
2021-11-08,2021-11-21,OF84,2026-10-31,2029-10-31
2021-11-22,2021-12-05,OF85,2026-10-31,2029-10-31
2021-12-06,2021-12-19,OF86,2026-11-30,2029-11-30
2021-12-20,2022-01-02,OF87,2026-11-30,2029-11-30
2022-01-03,2022-01-16,OF88,2026-12-31,2029-12-31
2022-01-17,2022-01-30,OF89,2026-12-31,2029-12-31
2022-01-31,2022-02-13,OF90,2026-12-31,2029-12-31
2022-02-14,2022-02-27,OF91,2027-01-31,2030-01-31
2022-02-28,2022-03-13,OF92,2027-01-31,2030-01-31
2022-03-14,2022-03-27,OF93,2027-02-28,2030-02-28
2022-03-28,2022-04-10,OF94,2027-02-28,2030-02-28
2022-04-11,2022-04-24,OF95,2027-03-31,2030-03-31
2022-04-25,2022-05-08,OF96,2027-03-31,2030-03-31
2022-05-09,2022-05-22,OF97,2027-04-30,2030-04-30
2022-05-23,2022-06-05,OF98,2027-04-30,2030-04-30
2022-06-06,2022-06-19,OF99,2027-05-31,2030-05-31
2022-06-20,2022-07-03,OG01,2027-05-31,2030-05-31
2022-07-04,2022-07-17,OG02,2027-06-30,2030-06-30
2022-07-18,2022-07-31,OG03,2027-06-30,2030-06-30
2022-08-01,2022-08-14,OG04,2027-07-31,2030-07-31
2022-08-15,2022-08-28,OG05,2027-07-31,2030-07-31
2022-08-29,2022-09-11,OG06,2027-07-31,2030-07-31
2022-09-12,2022-09-25,OG07,2027-08-31,2030-08-31
2022-09-26,2022-10-09,OG08,2027-08-31,2030-08-31
2022-10-10,2022-10-23,OG09,2027-09-30,2030-09-30
2022-10-24,2022-11-06,OG10,2027-09-30,2030-09-30
2022-11-07,2022-11-20,OG11,2027-10-31,2030-10-31
2022-11-21,2022-12-04,OG12,2027-10-31,2030-10-31
2022-12-05,2022-12-18,OG13,2027-11-30,2030-11-30
2022-12-19,2023-01-01,OG14,2027-11-30,2030-11-30
2023-01-02,2023-01-15,OG15,2027-12-31,2030-12-31
2023-01-16,2023-01-29,OG16,2027-12-31,2030-12-31
2023-01-30,2023-02-12,OG17,2027-12-31,2030-12-31
2023-02-13,2023-02-26,OG18,2028-01-31,2031-01-31
2023-02-27,2023-03-12,OG19,2028-01-31,2031-01-31
2023-03-13,2023-03-26,OG20,2028-02-29,2031-02-28
2023-03-27,2023-04-09,OG21,2028-02-29,2031-02-28
2023-04-10,2023-04-23,OG22,2028-03-31,2031-03-31
2023-04-24,2023-05-07,OG23,2028-03-31,2031-03-31
2023-05-08,2023-05-21,OG24,2028-04-30,2031-04-30
2023-05-22,2023-06-04,OG25,2028-04-30,2031-04-30
2023-06-05,2023-06-18,OG26,2028-05-31,2031-05-31
2023-06-19,2023-07-02,OG27,2028-05-31,2031-05-31
2023-07-03,2023-07-16,OG28,2028-06-30,2031-06-30
2023-07-17,2023-07-30,OG29,2028-06-30,2031-06-30
2023-07-31,2023-08-13,OG30,2028-06-30,2031-06-30
2023-08-14,2023-08-27,OG31,2028-07-31,2031-07-31
2023-08-28,2023-09-10,OG32,2028-07-31,2031-07-31
2023-09-11,2023-09-24,OG33,2028-08-31,2031-08-31
2023-09-25,2023-10-08,OG34,2028-08-31,2031-08-31
2023-10-09,2023-10-22,OG35,2028-09-30,2031-09-30
2023-10-23,2023-11-05,OG36,2028-09-30,2031-09-30
2023-11-06,2023-11-19,OG37,2028-10-31,2031-10-31
2023-11-20,2023-12-03,OG38,2028-10-31,2031-10-31
2023-12-04,2023-12-17,OG39,2028-11-30,2031-11-30
2023-12-18,2023-12-31,OG40,2028-11-30,2031-11-30
2024-01-01,2024-01-14,OG41,2028-12-31,2031-12-31
2024-01-15,2024-01-28,OG42,2028-12-31,2031-12-31
2024-01-29,2024-02-11,OG43,2028-12-31,2031-12-31
2024-02-12,2024-02-25,OG44,2029-01-31,2032-01-31
2024-02-26,2024-03-10,OG45,2029-01-31,2032-01-31
2024-03-11,2024-03-24,OG46,2029-02-28,2032-02-29
2024-03-25,2024-04-07,OG47,2029-02-28,2032-02-29
2024-04-08,2024-04-21,OG48,2029-03-31,2032-03-31
2024-04-22,2024-05-05,OG49,2029-03-31,2032-03-31
2024-05-06,2024-05-19,OG50,2029-04-30,2032-04-30
2024-05-20,2024-06-02,OG51,2029-04-30,2032-04-30
2024-06-03,2024-06-16,OG52,2029-05-31,2032-05-31
2024-06-17,2024-06-27,OG53,2029-05-31,2032-05-31
2024-06-28,2024-07-14,OG54,2029-06-30,2032-06-30
2024-07-15,2024-07-28,OG55,2029-06-30,2032-06-30
2024-07-29,2024-08-11,OG56,2029-06-30,2032-06-30
2024-08-12,2024-08-25,OG57,2029-07-31,2032-07-31
2024-08-26,2024-09-08,OG58,2029-07-31,2032-07-31
2024-09-09,2024-09-22,OG59,2029-08-31,2032-08-31
2024-09-23,2024-10-06,OG60,2029-08-31,2032-08-31
2024-10-07,2024-10-20,OG61,2029-09-30,2032-09-30
2024-10-21,2024-11-03,OG62,2029-09-30,2032-09-30
2024-11-04,2024-11-17,OG63,2029-10-31,2032-10-31
2024-11-18,2024-12-01,OG64,2029-10-31,2032-10-31
2024-12-02,2024-12-15,OG65,2029-11-30,2032-11-30
2024-12-16,2024-12-29,OG66,2029-11-30,2032-11-30
2024-12-30,2025-01-12,OG67,2029-11-30,2032-11-30
2025-01-13,2025-01-26,OG68,2029-12-31,2032-12-31
2025-01-27,2025-02-09,OG69,2029-12-31,2032-12-31
2025-02-10,2025-02-23,OG70,2030-01-31,2033-01-31
2025-02-24,2025-03-09,OG71,2030-01-31,2033-01-31
2025-03-10,2025-03-23,OG72,2030-02-28,2033-02-28
2025-03-24,2025-04-06,OG73,2030-02-28,2033-02-28
2025-04-07,2025-04-20,OG74,2030-03-31,2033-03-31
2025-04-21,2025-05-04,OG75,2030-03-31,2033-03-31
2025-05-05,2025-05-18,OG76,2030-04-30,2033-04-30
2025-05-19,2025-06-01,OG77,2030-04-30,2033-04-30
2025-06-02,2025-06-15,OG78,2030-05-31,2033-05-31
2025-06-16,2025-06-29,OG79,2030-05-31,2033-05-31
2025-06-30,2025-07-13,OG80,2030-05-31,2033-05-31
2025-07-14,2025-07-27,OG81,2030-06-30,2033-06-30
2025-07-28,2025-08-10,OG82,2030-06-30,2033-06-30
2025-08-11,2025-08-24,OG83,2030-07-31,2033-07-31
2025-08-25,2025-09-07,OG84,2030-07-31,2033-07-31
2025-09-08,2025-09-21,OG85,2030-08-31,2033-08-31
2025-09-22,2025-10-05,OG86,2030-08-31,2033-08-31
2025-10-06,2025-10-19,OG87,2030-09-30,2033-09-30
2025-10-20,2025-11-02,OG88,2030-09-30,2033-09-30
2025-11-03,2025-11-16,OG89,2030-10-31,2033-10-31
2025-11-17,2025-11-30,OG90,2030-10-31,2033-10-31
2025-12-01,2025-12-14,OG91,2030-11-30,2033-11-30
2025-12-15,2025-12-28,OG92,2030-11-30,2033-11-30
2025-12-29,2026-01-11,OG93,2030-11-30,2033-11-30
2026-01-12,2026-01-25,OG94,2030-12-31,2033-12-31
2026-01-26,2026-02-08,OG95,2030-12-31,2033-12-31
2026-02-09,2026-02-22,OG96,2031-01-31,2034-01-31
2026-02-23,2026-03-08,OG97,2031-01-31,2034-01-31
2026-03-09,2026-03-22,OG98,2031-02-28,2034-02-28
2026-03-23,2026-04-05,OG99,2031-02-28,2034-02-28
2026-04-06,2026-04-19,OH01,2031-03-31,2034-03-31
2026-04-20,2026-05-03,OH02,2031-03-31,2034-03-31
2026-05-04,2026-05-17,OH03,2031-04-30,2034-04-30
2026-05-18,2026-05-31,OH04,2031-04-30,2034-04-30
2026-06-01,2026-06-14,OH05,2031-05-31,2034-05-31
2026-06-15,2026-06-28,OH06,2031-05-31,2034-05-31
2026-06-29,2026-07-12,OH07,2031-05-31,2034-05-31
2026-07-13,2026-07-26,OH08,2031-06-30,2034-06-30
2026-07-27,2026-08-09,OH09,2031-06-30,2034-06-30
2026-08-10,2026-08-23,OH10,2031-07-31,2034-07-31
2026-08-24,2026-09-06,OH11,2031-07-31,2034-07-31
2026-09-07,2026-09-20,OH12,2031-08-31,2034-08-31
2026-09-21,2026-10-04,OH13,2031-08-31,2034-08-31
2026-10-05,2026-10-18,OH14,2031-09-30,2034-09-30
2026-10-19,2026-11-01,OH15,2031-09-30,2034-09-30
2026-11-02,2026-11-15,OH16,2031-10-31,2034-10-31
2026-11-16,2026-11-29,OH17,2031-10-31,2034-10-31
2026-11-30,2026-12-13,OH18,2031-10-31,2034-10-31
2026-12-14,2026-12-27,OH19,2031-11-30,2034-11-30
